address,amenities,basic_info,description,price_negotiable,price_per_month,property_url,purpose,title,type
" Sector No :  Shakartek  ,  Road No :  02  ,  House No :  26  ,  Area Name :    Adabor  ,  District Name :   Dhaka  Sector No :  Shakartek  ,  Road No :  02  ,  House No :  26  ,  Area Name :    Adabor  ,  District Name :   Dhaka  ,  Short Address :  Shekartek ","Lift Service,Garage,CCTV,Gas,Wifi","{'Bedrooms': '3', 'Bathrooms': '2', 'Belcony': '1', 'Floor': '2', 'Size': '1400SqFt', 'PropertyID': '31038'}",Monorom porebasa Akte roma akti set bara hoba  ,Yes,3000.00/- BDT ,https://www.thetolet.com/en/dhaka/adabor/31038/bachelor-house-tolet-from-april,Tolet,Bachelor House Tolet From April ,Bachelor House
" Sector No :  D  ,  Road No :  5  ,  House No :  190  ,  Area Name :    Bashundhara R.A  ,  District Name :   Dhaka  Sector No :  D  ,  Road No :  5  ,  House No :  190  ,  Area Name :    Bashundhara R.A  ,  District Name :   Dhaka  ,   Short Address :  House 190 Road 5 BlockD ",,"{'Bedrooms': '3', 'Bathrooms': '3', 'Belcony': '2', 'Floor': '2', 'Size': '1250SqFt', 'PropertyID': '31039'}",Not furnished  ,No,22000.00/- BDT ,https://www.thetolet.com/en/dhaka/bashundhara-r-a/31039/family-house-tolet-from-april,Tolet,Family House Tolet From April ,Family House
" Sector No :  5  ,  Road No :  8  ,  House No :  5  ,  Area Name :    Uttara  ,  District Name :   Dhaka  Sector No :  5  ,  Road No :  8  ,  House No :  5  ,  Area Name :    Uttara  ,  District Name :   Dhaka  ,  Short Address :  Johora Market ","Lift Service,CCTV,Gas,Wifi","{'Bedrooms': '1', 'Bathrooms': '1', 'Belcony': '1', 'Floor': '5', 'Size': '300SqFt', 'PropertyID': '31037'}",,No,11000.00/- BDT ,https://www.thetolet.com/en/dhaka/uttara/31037/bachelor-house-tolet-from-may,Tolet,Bachelor House Tolet From May ,Bachelor House
" Sector No :  25  ,  Road No :  25 dhaka housing  ,  House No :  25  ,  Area Name :    Shyamoli  ,  District Name :   Dhaka  Sector No :  25  ,  Road No :  25 dhaka housing  ,  House No :  25  ,  Area Name :    Shyamoli  ,  District Name :   Dhaka  ,  Short Address :  25 Dhaka Housing ",,"{'Bedrooms': '3', 'Bathrooms': '2', 'Belcony': '2', 'Floor': '2', 'Size': '850SqFt', 'PropertyID': '31035'}","#ফ্যামিলি ভাড়া হবে, #To_Let #family , , #May, , ভাড়া হবে মে মাস থেকে ২য় তলায় , , ৩ বেডরুম , ডাইনিং, ২ বাথরুম , কিচেন, আলাদা ড্রয়ইং রুম, রুমের সাথে বারান্দা আছে ।, , পর্যাপ্ত আলো বাতাসের সুবিধা রয়েছে।‌দক্ষিণমুখী বাসা।, বিদ্যুৎ বিল : আপনাদের উপর নির্ভর, গ্যাস: ন্যাচারাল তিতাস গ্যাস , , নিচে দারোয়ান থাকে সবসময়, সিকিউরিটি অনেক ভালো , Rent : ( আলোচনা সাপেক্ষে) কল করে জানতে হবে।, , ঠিকানা: ২৫ ঢাকা হাউজিং শ্যামলী, মোহাম্মদপুর। স্বপ্ন সুপার শপ থেকে কিছুটা হাঁটলেই। , মোবাইল : 01521331321, 01552449762  ",No,20000.00/- BDT ,https://www.thetolet.com/en/dhaka/shyamoli/31035/family-house-tolet-from-may,House, Family House Tolet From May , Family
" Sector No :  Kuratoli  ,  Road No :  কুড়াতলি আদর্শ উচ্চ  ,  House No :  N/A  ,  Area Name :    Bashundhara R.A  ,  District Name :   Dhaka  Sector No :  Kuratoli  ,  Road No :  কুড়াতলি আদর্শ উচ্চ  ,  House No :  N/A  ,  Area Name :    Bashundhara R.A  ,  District Name :   Dhaka  ,  Short Address :  N/A ",,"{'Bedrooms': '3', 'Bathrooms': '2', 'Belcony': '4', 'Floor': '3', 'Size': '3000SqFt', 'PropertyID': '31036'}","#female_flat April/May , Rooms/Seats available , ▪️2 Minutes walking distance from #AIUB. , ▪️3rd floor,No lift. Male guest not allowed. Secure place., , Please read:, ?Single room 8500tk (Semi Furnished) , ?A huge big room seat 6000tk each for 2 people, ?A huge big master bed seat 6500tk each for 2 people , , All are including maid for cleaning, WiFi, Deep Fridge, Water filter, Service charge, dust bill,water bill etc, Only Gas-সরকারি (Card system) and Electricity excluded, , ▪️With/without food. , ▪️Furniture can be provided if you want.  ",No,6000.00/- BDT ,https://www.thetolet.com/en/dhaka/bashundhara-r-a/31036/hostel-seat-tolet-from-april,Tolet,Hostel Seat Tolet From April ,Hostel Seat
" Sector No :   ,  Road No :   ,  House No :   ,  Area Name :    Bashundhara R.A  ,  District Name :   Dhaka  Sector No :   ,  Road No :   ,  House No :   ,  Area Name :    Bashundhara R.A  ,  District Name :   Dhaka  ,  Short Address :  JCX, Tower Bashundhara R/A,Dhaka ",,"{'Bedrooms': '1', 'Bathrooms': '1', 'Belcony': '1', 'Floor': '4', 'Size': '375SqFt', 'PropertyID': '31031'}","বসুন্ধরা আর/এ তে ২ রুম (সুসজ্জিত ) সার্ভিসড অ্যাপার্টমেন্ট ভাড়া দেওয়া হবে। রান্নাঘর, টিভি, রেফ্রিজারেটর, ওয়াইফাই, মাইক্রোওয়েভ ওভেন, এ/সি সহ শর্ট-টার্ম রেন্টাল দেওয়া হয় ।, , সুযোগ সুবিধা:, >ওয়াইফাই, টিভি, >সুইমিংপুল, এসি, জিম, >থিয়েটার & সিকিউরিটি, >লন্ড্রি & ডেইলি ক্লিনিং সার্ভিস, >গ্রোসারি শপ &কেবিনেট কিচেন, >রেফ্রিজারেটর & মাইক্রোওয়েভ, , যোগাযোগের ঠিকানা:জেসিএক্স টাওয়ার, ১১৩৬/এ, ব্লক- আই, লেভেল ৫ জাপান স্ট্রিট, বসুন্ধরা আর /এ  ",No,36000.00/- BDT ,https://www.thetolet.com/en/dhaka/bashundhara-r-a/31031/family-house-tolet-from-april,Tolet,Family House Tolet From April ,Family House
" Sector No :   ,  Road No :  South paikpara main   ,  House No :  330  ,  Area Name :    60 Feet Road  ,  District Name :   Dhaka  Sector No :   ,  Road No :  South paikpara main   ,  House No :  330  ,  Area Name :    60 Feet Road  ,  District Name :   Dhaka  ,  Short Address :  ৩৩০, দক্ষিণ পাইকপাড়া মেইন রোড (বাংলা কলেজ টু শেওড়াপাড়া রোড), মিরপুর-১,ঢাকা-১২১৬ ",,"{'Bedrooms': '3', 'Bathrooms': '3', 'Belcony': '2', 'Floor': '3', 'Size': '1300SqFt', 'PropertyID': '31034'}","FLAT RENT, , # Only For Family #, আগামী মাসের ১ তারিখ থেকে (প্রয়োজনে গাড়ির গ‍্যারেজসহ) ফ্ল‍্যাট ভাড়া দেওয়া হবে।(ফ্যামিলি) , , ✅✅লোকেশান-৩৩০, দক্ষিণ পাইকপাড়া মেইন রোড (বাংলা কলেজ টু শেওড়াপাড়া রোড), মিরপুর-১,ঢাকা-১২১৬, (দোতলা মসজিদ সংলগ্ন। বাংলা কলেজ ও 60 ফিট থেকে ৫ মিনিটের হাঁটা পথের দূরত্বে আর কল‍্যাণপুর বাসস্ট্যান্ড থেকে ১০ মিনিটের হাঁটা পথের দূরত্বে ) , ✅✅, Flat size : 1300 sft. ৩ বেড,৩ বাথ (২ টি হাই কমোড আর একটি লো কমোড), ২ বারান্দা , ড্রইং ডাইনিং, ৪র্থ তলা, , ☑️সুবিধা, ?লিফট , ?জেনারেটর , ?গিজার লাইন, ?এসির লাইন, ➡️বিদ্যুৎ (আলাদা মিটার) , ➡️গ্যাস(সিলিন্ডার), ▪️ভাড়া ১৭,০০০টাকা (আলোচনা সাপেক্ষ‍ে শিথিলযোগ্য), ▪️সার্ভিস চার্জ ৩,০০০টাকা, ▪গ‍্যারেজ ২,০০০ টাকা , যোগাযোগঃ০১৭৫৬২৫৫৪৩৩  ",No,17000.00/- BDT ,https://www.thetolet.com/en/dhaka/60-feet-road/31034/family-house-tolet-from-april,Tolet,Family House Tolet From April ,Family House
"  Sector No :   ,  Road No :   ,  House No :   ,  Area Name :    Kalabagan  ,  District Name :   Dhaka   Sector No :   ,  Road No :   ,  House No :   ,  Area Name :    Kalabagan  ,  District Name :   Dhaka  ,  Short Address :  Lake Circus, Kalabagan, Dhaka ",,"{'Bedrooms': '3', 'Bathrooms': '2', 'Belcony': '2', 'Size': 'SqFt', 'PropertyID': '31032'}",,Yes,Negotiable ,https://www.thetolet.com/en/dhaka/kalabagan/31032/family-house-tolet-from-june,Tolet,Family House Tolet From June ,Family House
"  Sector No :   ,  Road No :  Abu Bakkar Madrasha   ,  House No :  Rose Veally  ,  Area Name :    60 Feet Road  ,  District Name :   Dhaka   Sector No :   ,  Road No :  Abu Bakkar Madrasha   ,  House No :  Rose Veally  ,  Area Name :    60 Feet Road  ,  District Name :   Dhaka  ,  Short Address :  Mirpur 60 Feet ",,"{'Bedrooms': '3', 'Bathrooms': '2', 'Belcony': '2', 'Floor': '4', 'Size': 'SqFt', 'PropertyID': '31033'}",,No,14000.00/- BDT ,https://www.thetolet.com/en/dhaka/60-feet-road/31033/family-house-tolet-from-june,Tolet,Family House Tolet From June ,Family House
" Sector No :  Kathalbagan  ,  Road No :  Free School Street  ,  House No :  16  ,  Area Name :    Dhanmondi  ,  District Name :   Dhaka  Sector No :  Kathalbagan  ,  Road No :  Free School Street  ,  House No :  16  ,  Area Name :    Dhanmondi  ,  District Name :   Dhaka  ,  Short Address :  16,Free School Street, Kathal Bagan ","Gas,Wifi","{'Bedrooms': '1', 'Bathrooms': '1', 'Belcony': '1', 'Floor': '2', 'Size': 'SqFt', 'PropertyID': '31030'}","#Only_Girls #onlygirls , ? কাঁঠালবাগান, ধানমন্ডি (ফ্রি স্কুল স্ট্রিটে) মেয়েদের ফ্ল্যাটে রুম/সিট ভাড়া হবে।, ?ফুল টাইলস করা সিকিউর মেয়েদের ফ্ল্যাট। , ?গ্যাস+পানি+বিদ্যুৎ+ফ্রিজ+ওয়াইফাই+গার্ড সব ইনক্লুডেড।, ?দ্বিতীয় তলায়, ছিমছাম পরিবেশ।, ✨২ জনের রুমে সিট প্রতি ৫ হাজার, ডাইনিং এ সিট প্রতি ৩.৫ হাজার (পুরো ডাইনিং স্পেস এ একজনই থাকবে) + কমন বাথরুম, ?(ছেলে গেস্ট এলাউড নয়), , আগ্রহী হলে ইনবক্সে যোগাযোগ করুন।  ",No,10000.00/- BDT ,https://www.thetolet.com/en/dhaka/dhanmondi/31030/bachelor-house-tolet-from-april,Tolet,Bachelor House Tolet From April ,Bachelor House
